block,lot,cartodb_id,plan_id,disposition_filterable,in_596,bbl
3559,1,448460,10412,"residential, commercial, public, semi-public, open space",false,3035590001
3521,11,448461,10412,"residential, commercial, public, semi-public, open space",false,3035210011
3792,1,448462,10395,residential,false,3037920001
3792,1,448463,10430,,false,3037920001
3574,1,448464,10412,"residential, commercial, public, semi-public, open space",false,3035740001
3570,1,448465,10412,,false,3035700001
3677,39,448466,10391,"residential, commercial, public, institutional, open space, industrial",false,3036770039
3677,39,448467,10395,residential,false,3036770039
3519,26,448468,10412,"residential, commercial, public, semi-public, open space",false,3035190026
3516,27,448469,10412,"residential, commercial, public, semi-public, open space",false,3035160027
3830,42,448470,10391,"residential, commercial, public, institutional, open space, industrial",false,3038300042
3830,42,448471,10395,,false,3038300042
3830,34,448472,10391,"residential, commercial, public, institutional, open space, industrial",false,3038300034
3830,34,448473,10395,,false,3038300034
3589,11,448474,10412,"residential, commercial, public, semi-public, open space",false,3035890011
3590,11,448475,10390,illegible,false,3035900011
3516,53,448476,10412,"residential, commercial, public, semi-public, open space",false,3035160053
3516,63,448477,10412,"residential, commercial, public, semi-public, open space",false,3035160063
3537,20,448478,10412,"residential, commercial, public, semi-public, open space",false,3035370020
3699,35,448479,10401,"industrial, commercial, public, community facility",false,3036990035
3817,21,448480,10395,residential,true,3038170021
3817,21,448481,10430,,true,3038170021
4068,45,448482,10402,"residential, community facility",false,3040680045
3560,36,448483,10412,"residential, commercial, public, semi-public, open space",false,3035600036
3683,5,448485,10401,"industrial, commercial, public, community facility",false,3036830005
3838,39,448486,10430,,false,3038380039
2191,5,448487,10383,,false,3021910005
3588,35,448488,10412,"residential, commercial, public, semi-public, open space",true,3035880035
3677,9,448489,10391,"residential, commercial, public, institutional, open space, industrial",true,3036770009
3677,9,448490,10395,residential,true,3036770009
3680,29,448491,10401,"industrial, commercial, public, community facility",true,3036800029
3557,16,448492,10412,"residential, commercial, public, semi-public, open space",false,3035570016
3515,8,448493,10412,"residential, commercial, public, semi-public, open space",false,3035150008
3518,23,448494,10412,"residential, commercial, public, semi-public, open space",false,3035180023
4082,43,448495,10402,"residential, community facility",false,3040820043
3601,17,448496,10412,"residential, commercial, public, semi-public, open space",false,3036010017
3826,45,448497,10395,residential,false,3038260045
3695,10,448498,10401,"industrial, commercial, public, community facility",false,3036950010
3137,6,448499,10426,"residential, commercial",true,3031370006
3557,1,448500,10412,"residential, commercial, public, semi-public, open space",false,3035570001
3790,47,448501,10395,residential,false,3037900047
3334,1,448502,10429,"residential, commercial, open space",false,3033340001
15960,3,452636,10442,residential,false,4159600003
3557,22,448503,10412,"residential, commercial, public, semi-public, open space",false,3035570022
3556,43,448504,10412,"residential, commercial, public, semi-public, open space",false,3035560043
3601,11,448505,10412,"residential, commercial, public, semi-public, open space",false,3036010011
2236,7,448506,10416,residential,false,3022360007
4084,16,448507,10402,"residential, community facility",false,3040840016
3567,52,448508,10412,"residential, commercial, public, semi-public, open space",false,3035670052
4082,3,448509,10402,"residential, community facility",false,3040820003
3791,28,448510,10395,residential,true,3037910028
3791,28,448511,10430,,true,3037910028
3076,22,448512,10436,,false,3030760022
3618,13,448513,10390,illegible,false,3036180013
3517,42,448514,10412,"residential, commercial, public, semi-public, open space",false,3035170042
3811,19,448515,10391,"residential, commercial, public, institutional, open space, industrial",true,3038110019
3692,1,448516,10391,"residential, commercial, public, institutional, open space, industrial",true,3036920001
3692,1,448517,10395,residential,true,3036920001
3818,49,448518,10395,residential,false,3038180049
3818,49,448519,10430,,false,3038180049
15960,21,452637,10442,residential,false,4159600021
3316,20,448520,10429,"residential, commercial, open space",false,3033160020
3461,54,448521,10428,"residential, community facility, open space",false,3034610054
3677,48,448522,10391,"residential, commercial, public, institutional, open space, industrial",false,3036770048
3677,48,448523,10395,residential,false,3036770048
3725,1,448524,10395,residential,false,3037250001
3725,1,448525,10430,,false,3037250001
